recipe_name,cuisine,difficulty,prep_time,cook_time,servings,ingredients,instructions,nutrition,tips
Phở Bò,Vietnamese,Medium,30,180,6,"xương ống bò:2kg;xương đuôi bò:500g;thịt nạm bò:300g;thịt bò tái:200g;bánh phở:1kg;hành tây:2 củ;gừng:100g;quế:2 thanh;hồi:3 cái;thảo quả:2 trái;đinh hương:5 cái;hành lá:100g;rau mùi:100g;giá đỗ:200g;chanh:2 quả;ớt tươi:3 quả","1. Chần xương qua nước sôi để làm sạch;2. Nướng hành tây và gừng;3. Cho xương vào nồi lớn, đổ ngập nước và ninh trong 3 tiếng;4. Thêm các gia vị: quế, hồi, thảo quả, đinh hương vào túi lọc;5. Nêm nếm nước dùng với muối, đường phèn, nước mắm;6. Trụng bánh phở;7. Xếp thịt và rau vào tô;8. Chan nước dùng sôi","calories:450;protein:35g;carbs:50g;fat:15g","1. Nướng hành và gừng trước khi cho vào nấu để nước dùng thơm hơn;2. Hớt bọt thường xuyên để nước dùng trong;3. Nên ninh xương ít nhất 3 tiếng"
Bún Bò Huế,Vietnamese,Medium,30,210,6,"xương heo:1kg;bắp bò:500g;giò heo:500g;sả:5 cây;ớt:5 quả;hành tím:3 củ;tỏi:5 tép;gừng:50g;mắm ruốc:3 muỗng;ớt bột:2 muỗng;bún huế:1kg;rau muống:200g;giá:200g;hành lá:100g","1. Ninh xương và thịt;2. Phi thơm sả băm, tỏi băm;3. Ướp gia vị với mắm ruốc;4. Nấu nước dùng với sả và gia vị;5. Trụng bún;6. Xếp thịt và rau vào tô;7. Chan nước dùng","calories:550;protein:40g;carbs:45g;fat:20g","1. Dùng mắm ruốc nguyên chất;2. Phi sả thật thơm;3. Nêm nếm vừa ăn"
Bánh Xèo,Vietnamese,Medium,20,10,4,"bột gạo:300g;bột nghệ:1 muỗng;nước cốt dừa:200ml;thịt heo:200g;tôm:200g;giá đỗ:200g;hành lá:100g;nước mắm:50ml;đường:20g;ớt:2 quả","1. Trộn bột với nước cốt dừa;2. Phi thơm hành;3. Đổ bột vào chảo;4. Cho nhân vào;5. Chiên giòn hai mặt","calories:400;protein:25g;carbs:35g;fat:18g","1. Để bột nghỉ 30 phút;2. Chảo phải thật nóng;3. Đổ bột mỏng đều"
Gỏi Cuốn,Vietnamese,Easy,20,10,4,"bánh tráng:12 cái;tôm:300g;thịt heo:200g;bún:200g;rau xà lách:100g;rau thơm:100g;đậu phộng:50g;nước mắm:100ml","1. Luộc tôm và thịt;2. Trải bánh tráng;3. Xếp nguyên liệu;4. Cuốn chặt;5. Làm nước chấm","calories:280;protein:18g;carbs:35g;fat:10g","1. Bánh tráng ngâm nước vừa đủ;2. Cuốn chặt tay;3. Nước chấm đậm đà"
Cá Kho Tộ,Vietnamese,Medium,20,40,4,"cá thu:800g;nước mắm:100ml;đường:50g;tiêu:15g;tỏi:5 tép;ớt:2 quả;gừng:30g;hành khô:3 củ","1. Làm sạch cá;2. Ướp cá với gia vị;3. Xếp cá vào nồi đất;4. Kho liu riu lửa;5. Kho đến khi nước cạn sệt","calories:350;protein:28g;carbs:15g;fat:20g","1. Chọn nồi đất để cá ngon hơn;2. Kho liu riu lửa;3. Nước kho cạn sệt"
Bún Chả,Vietnamese,Medium,40,30,4,"thịt ba chỉ:500g;thịt vai:300g;tỏi:5 tép;hành khô:3 củ;nước mắm:50ml;đường:30g;tiêu:10g;bún:500g;rau sống:300g;ớt:2 quả","1. Ướp thịt với hỗn hợp nước mắm;2. Để thịt ướp 2 tiếng;3. Nướng thịt trên bếp than;4. Pha nước chấm;5. Trình bày với bún và rau sống","calories:550;protein:30g;carbs:45g;fat:25g","1. Nướng thịt trên bếp than;2. Thịt thái miếng vừa;3. Nước chấm chua ngọt mặn"
Bánh Mì,Vietnamese,Easy,20,15,4,"bánh mì:4 ổ;patê:200g;chả lụa:200g;thịt nguội:150g;đồ chua:200g;rau răm:50g;ớt:2 quả;xì dầu:30ml;mayonnaise:50g","1. Làm nóng bánh mì;2. Phết patê và mayonnaise;3. Xếp các loại thịt;4. Thêm đồ chua và rau;5. Rưới xì dầu","calories:400;protein:20g;carbs:45g;fat:18g","1. Bánh mì phải nóng giòn;2. Đồ chua phải giòn ngon;3. Cân đối nguyên liệu"
Cơm Tấm,Vietnamese,Medium,20,30,1,"cơm tấm:200g;sườn nướng:200g;chả trứng:100g;bì:100g;đồ chua:100g;mỡ hành:50g;nước mắm:50ml","1. Nướng sườn;2. Làm chả trứng;3. Làm bì;4. Xếp lên cơm;5. Rưới mỡ hành và nước mắm","calories:650;protein:35g;carbs:70g;fat:25g","1. Cơm phải dẻo;2. Sườn nướng thơm;3. Nước mắm vừa ăn"
Bún Riêu,Vietnamese,Medium,30,60,4,"bún:500g;cua đồng:500g;thịt băm:200g;đậu phụ:200g;mắm tôm:30g;cà chua:300g;hành lá:100g;rau muống:200g","1. Lọc riêu cua;2. Nấu nước dùng;3. Cho cà chua;4. Nêm nếm;5. Trụng bún;6. Thêm rau","calories:400;protein:25g;carbs:50g;fat:15g","1. Cua tươi ngon;2. Riêu cua mịn;3. Nước dùng trong"
Chả Giò,Vietnamese,Medium,45,15,6,"bánh tráng:20 cái;thịt heo băm:300g;miến:100g;nấm mèo:50g;cà rốt:100g;hành tây:100g;trứng:2 quả;nước mắm:50ml","1. Trộn nhân;2. Cuốn chả giò;3. Chiên vàng;4. Làm nước chấm;5. Ăn kèm rau sống","calories:300;protein:15g;carbs:30g;fat:15g","1. Cuốn chặt tay;2. Dầu phải nóng;3. Chiên vàng đều"
Bánh Bèo,Vietnamese,Medium,30,15,6,"bột gạo:300g;bột năng:100g;tôm khô:100g;hành phi:50g;mỡ hành:50g;nước mắm:50ml;ớt:2 quả","1. Pha bột;2. Hấp bánh;3. Làm nhân;4. Rắc nhân lên bánh;5. Rưới nước mắm","calories:200;protein:10g;carbs:35g;fat:8g","1. Bột phải mịn;2. Hấp vừa tới;3. Nhân đậm đà"
Bánh Cuốn,Vietnamese,Medium,30,20,4,"bột gạo:400g;thịt băm:200g;nấm mèo:50g;hành khô:3 củ;nước mắm:50ml;hành phi:50g","1. Pha bột;2. Tráng bánh;3. Làm nhân;4. Cuốn bánh;5. Rắc hành phi","calories:300;protein:15g;carbs:45g;fat:10g","1. Bột phải loãng vừa;2. Tráng mỏng đều;3. Nhân thơm ngon"
Bò Lúc Lắc,Vietnamese,Medium,20,15,4,"thịt bò:500g;hành tây:2 củ;ớt chuông:2 quả;tỏi:5 tép;nước mắm:30ml;tiêu:10g;dầu ăn:50ml","1. Ướp thịt;2. Xào hành tỏi;3. Xào thịt;4. Trình bày với salad","calories:400;protein:35g;carbs:15g;fat:25g","1. Thịt thái miếng vừa;2. Xào lửa lớn;3. Thịt chín tái"
Canh Chua Cá,Vietnamese,Easy,20,30,4,"cá lóc:500g;dứa:200g;cà chua:200g;đậu bắp:100g;bạc hà:100g;me:50g;ớt:2 quả;hành ngò:100g","1. Nấu nước dùng;2. Cho cá vào;3. Thêm rau củ;4. Nêm nếm;5. Rắc ngò","calories:250;protein:25g;carbs:20g;fat:10g","1. Cá tươi ngon;2. Rau giòn;3. Vị chua vừa phải"
Gà Kho Gừng,Vietnamese,Medium,20,40,4,"gà:1kg;gừng:100g;sả:3 cây;tỏi:5 tép;ớt:2 quả;nước mắm:50ml;đường:30g;tiêu:10g","1. Ướp gà;2. Phi thơm;3. Kho gà;4. Nêm nếm","calories:450;protein:40g;carbs:15g;fat:30g","1. Gà chặt miếng vừa;2. Kho liu riu;3. Nước kho sệt"
Mì Quảng,Vietnamese,Medium,30,45,4,"mì quảng:500g;tôm:200g;thịt heo:200g;trứng:3 quả;đậu phộng:100g;rau sống:200g;bánh tráng:100g","1. Nấu nước dùng;2. Luộc tôm thịt;3. Trụng mì;4. Bày rau;5. Chan nước","calories:500;protein:30g;carbs:60g;fat:20g","1. Nước dùng đặc;2. Mì dai ngon;3. Rau tươi"
Cơm Gà Hội An,Vietnamese,Medium,30,45,4,"gà:1kg;gạo:400g;nghệ:30g;hành tây:2 củ;rau răm:50g;ớt:3 quả;nước mắm:50ml","1. Luộc gà;2. Nấu cơm;3. Xé gà;4. Trộn rau;5. Làm nước chấm","calories:550;protein:35g;carbs:65g;fat:20g","1. Gà da vàng;2. Cơm dẻo thơm;3. Nước chấm cay"
Bánh Khọt,Vietnamese,Medium,30,20,4,"bột gạo:300g;nước cốt dừa:200ml;tôm:200g;hành lá:100g;nước mắm:50ml;đường:20g;ớt:2 quả","1. Pha bột;2. Đổ khuôn;3. Cho nhân;4. Chiên vàng","calories:350;protein:20g;carbs:40g;fat:15g","1. Bột đặc vừa;2. Khuôn nóng đều;3. Bánh giòn"
Hủ Tiếu Nam Vang,Vietnamese,Medium,30,60,6,"hủ tiếu:500g;tôm:200g;thịt heo:200g;gan heo:100g;giá:200g;hành ngò:100g;tỏi phi:50g","1. Nấu nước dùng;2. Luộc các loại thịt;3. Trụng hủ tiếu;4. Bày rau;5. Chan nước","calories:450;protein:30g;carbs:55g;fat:15g","1. Nước dùng trong;2. Thịt mềm ngon;3. Hủ tiếu dai"
Bún Mắm,Vietnamese,Medium,30,60,4,"bún:500g;cá lóc:300g;tôm:200g;thịt heo:200g;mắm cá:100g;cà tím:200g;giá:200g","1. Nấu nước dùng;2. Kho cá;3. Luộc tôm thịt;4. Trụng bún;5. Chan nước","calories:500;protein:35g;carbs:50g;fat:20g","1. Mắm ngon;2. Nước dùng đậm đà;3. Rau tươi ngon"
Cháo Lòng,Vietnamese,Easy,20,45,4,"gạo nếp:200g;lòng heo:500g;tiết heo:200g;gừng:50g;hành ngò:100g;tiêu:10g;nước mắm:30ml","1. Nấu cháo;2. Luộc lòng;3. Thái lòng;4. Chan cháo;5. Rắc tiêu","calories:400;protein:25g;carbs:45g;fat:20g","1. Cháo nhừ;2. Lòng sạch;3. Gia vị vừa ăn"
Bún Đậu Mắm Tôm,Vietnamese,Easy,30,20,4,"bún:500g;đậu phụ:400g;chả cốm:200g;thịt luộc:200g;mắm tôm:100g;rau sống:300g;ớt:3 quả","1. Chiên đậu;2. Luộc thịt;3. Pha mắm tôm;4. Bày rau;5. Trình bày","calories:450;protein:30g;carbs:45g;fat:25g","1. Đậu chiên vàng;2. Mắm tôm thơm;3. Rau tươi ngon"
Cơm Rang Dưa Bò,Vietnamese,Medium,20,25,4,"cơm nguội:500g;thịt bò:300g;dưa cải:200g;trứng:2 quả;hành tây:1 củ;tỏi:5 tép;nước mắm:30ml","1. Xào thịt bò;2. Trộn dưa;3. Đảo cơm;4. Thêm trứng;5. Nêm nếm","calories:450;protein:25g;carbs:55g;fat:20g","1. Cơm nguội;2. Thịt bò mềm;3. Dưa chua vừa"
Lẩu Thái,Vietnamese,Medium,40,60,6,"nước dùng:2l;tôm:300g;mực:300g;nấm:200g;rau muống:200g;me:50g;sả:3 cây;ớt:5 quả","1. Nấu nước dùng;2. Sơ chế hải sản;3. Chuẩn bị rau;4. Nấu lẩu;5. Ăn kèm bún","calories:350;protein:30g;carbs:25g;fat:15g","1. Nước dùng cay chua;2. Hải sản tươi;3. Rau giòn ngon"
Gỏi Ngó Sen,Vietnamese,Easy,30,0,4,"ngó sen:500g;tôm:300g;thịt heo:200g;rau răm:100g;đậu phộng:100g;ớt:2 quả;nước mắm:50ml","1. Thái ngó sen;2. Luộc tôm thịt;3. Trộn gỏi;4. Rắc đậu phộng","calories:280;protein:25g;carbs:20g;fat:15g","1. Ngó sen giòn;2. Nước mắm vừa;3. Trộn đều"
Cá Kèo Kho Tộ,Vietnamese,Medium,25,35,4,"cá kèo:500g;nước dừa:200ml;nước mắm:30ml;tiêu:5g;tỏi:20g;ớt:10g","1. Làm sạch cá;2. Ướp gia vị;3. Kho với nước dừa;4. Rim khô","calories:280;protein:25g;carbs:8g;fat:18g","1. Cá tươi ngon;2. Nước kho sệt;3. Màu nâu đẹp"
Canh Khổ Qua,Vietnamese,Easy,20,30,4,"khổ qua:4 trái;thịt băm:200g;nấm:100g;hành ngò:50g;tiêu:5g;nước mắm:30ml","1. Nhồi thịt;2. Nấu canh;3. Nêm nếm;4. Rắc tiêu","calories:200;protein:20g;carbs:15g;fat:10g","1. Khổ qua không đắng;2. Thịt mềm;3. Nước trong"
Cá Diêu Hồng Chiên Xù,Vietnamese,Medium,20,20,4,"cá diêu hồng:800g;bột chiên:200g;trứng:2 quả;hành lá:50g;nước mắm:50ml;tiêu:5g","1. Ướp cá;2. Tẩm bột;3. Chiên vàng;4. Làm nước mắm","calories:400;protein:35g;carbs:25g;fat:20g","1. Cá tươi;2. Vỏ giòn;3. Thịt mềm"
Thịt Kho Tàu,Vietnamese,Medium,20,60,4,"thịt ba chỉ:500g;trứng:6 quả;nước dừa:500ml;nước mắm:50ml;đường:30g;tiêu:10g","1. Luộc trứng;2. Ướp thịt;3. Kho thịt;4. Thêm trứng","calories:550;protein:35g;carbs:15g;fat:45g","1. Thịt mềm;2. Nước kho sệt;3. Trứng thấm"
Canh Cải Ngọt,Vietnamese,Easy,15,20,4,"cải ngọt:300g;thịt băm:100g;tỏi:3 tép;hành khô:2 củ;nước mắm:20ml","1. Phi thơm;2. Xào thịt;3. Nấu canh;4. Nêm nếm","calories:150;protein:15g;carbs:10g;fat:8g","1. Rau xanh;2. Nước trong;3. Vị ngọt tự nhiên"
Gà Xào Sả Ớt,Vietnamese,Medium,20,25,4,"gà:500g;sả:5 cây;ớt:4 quả;tỏi:5 tép;hành tây:1 củ;nước mắm:30ml;tiêu:5g","1. Ướp gà;2. Phi thơm;3. Xào gà;4. Nêm nếm","calories:350;protein:30g;carbs:15g;fat:20g","1. Gà thấm;2. Cay vừa;3. Thơm sả"
Cá Lóc Nướng Trui,Vietnamese,Medium,30,40,4,"cá lóc:1kg;sả:5 cây;muối:15g;ớt:10g;rơm:500g","1. Làm sạch cá;2. Ướp gia vị;3. Nướng rơm;4. Thái khúc","calories:320;protein:35g;carbs:5g;fat:15g","1. Cá chín đều;2. Thơm rơm;3. Da giòn"
Bò Nướng Lá Lốt,Vietnamese,Medium,40,20,4,"thịt bò:500g;lá lốt:30 lá;sả:3 cây;tỏi:5 tép;nước mắm:30ml;tiêu:5g;đường:10g","1. Băm thịt;2. Ướp gia vị;3. Cuốn lá;4. Nướng;5. Làm nước chấm","calories:350;protein:30g;carbs:15g;fat:20g","1. Thịt mềm;2. Lá tươi;3. Nướng vừa chín"
Canh Bí Đỏ,Vietnamese,Easy,15,25,4,"bí đỏ:500g;tôm khô:50g;hành ngò:50g;tiêu:5g;nước mắm:20ml","1. Thái bí;2. Nấu nước dùng;3. Cho bí vào;4. Nêm nếm;5. Rắc ngò","calories:150;protein:10g;carbs:25g;fat:5g","1. Bí ngọt;2. Nước trong;3. Vị thanh"
Canh Chua Rau Muống,Vietnamese,Easy,15,20,4,"rau muống:300g;me:30g;tỏi:3 tép;ớt:2 quả;nước mắm:30ml;đường:10g","1. Nấu nước;2. Cho me;3. Thêm rau;4. Nêm nếm","calories:100;protein:5g;carbs:15g;fat:5g","1. Rau xanh;2. Vị chua;3. Nước trong"
Gà Hấp Lá Chanh,Vietnamese,Medium,30,45,4,"gà:1kg;lá chanh:10 lá;gừng:50g;hành tây:1 củ;nước mắm:30ml;tiêu:10g","1. Ướp gà;2. Xếp lá;3. Hấp chín;4. Làm nước chấm","calories:400;protein:45g;carbs:10g;fat:25g","1. Gà mềm;2. Thơm lá;3. Không khô"
Cá Diêu Hồng Sốt Cà,Vietnamese,Medium,25,30,4,"cá diêu hồng:800g;cà chua:300g;hành tây:100g;tỏi:20g;ớt:10g","1. Chiên cá;2. Xào cà;3. Nấu sốt;4. Om cá","calories:300;protein:28g;carbs:15g;fat:16g","1. Cá vàng giòn;2. Sốt sệt;3. Chua ngọt"
Canh Bí Xanh,Vietnamese,Easy,15,20,4,"bí xanh:400g;tôm:200g;hành ngò:50g;tiêu:5g;nước mắm:20ml","1. Thái bí;2. Luộc tôm;3. Nấu canh;4. Nêm nếm","calories:150;protein:20g;carbs:15g;fat:5g","1. Bí non;2. Tôm tươi;3. Nước ngọt"
Thịt Heo Quay,Vietnamese,Hard,60,90,6,"thịt heo:2kg;muối:50g;rượu:30ml;giấm:30ml;ngũ vị hương:10g;tiêu:10g","1. Ướp thịt;2. Để khô;3. Quay;4. Thái miếng","calories:600;protein:45g;carbs:5g;fat:45g","1. Da giòn;2. Thịt mềm;3. Gia vị thấm"
Bánh Canh Cua,Vietnamese,Medium,40,60,4,"bột gạo:300g;cua:500g;tôm:200g;chả cá:200g;hành lá:50g;giá:100g;ớt:2 quả","1. Làm bột bánh canh;2. Nấu nước dùng;3. Nấu cua;4. Trụng bánh;5. Chan nước","calories:400;protein:30g;carbs:50g;fat:10g","1. Bánh dai ngon;2. Nước dùng ngọt;3. Cua tươi"
Cơm Cháy Chà Bông,Vietnamese,Medium,30,20,4,"cơm:500g;chà bông:200g;mỡ hành:50g;nước mắm:30ml;đường:10g","1. Ép cơm;2. Nướng giòn;3. Rắc chà bông;4. Rưới mỡ hành","calories:350;protein:20g;carbs:45g;fat:15g","1. Cơm giòn;2. Chà bông xốp;3. Mỡ thơm"
Bún Ốc,Vietnamese,Medium,30,45,4,"ốc:500g;bún:500g;rau muống:200g;hành lá:50g;gừng:30g;ớt:3 quả;mẻ:30ml","1. Luộc ốc;2. Nấu nước dùng;3. Trụng rau;4. Bày bún;5. Chan nước","calories:350;protein:25g;carbs:45g;fat:10g","1. Ốc tươi;2. Nước dùng chua;3. Rau giòn"
Cá Chép Om Dưa,Vietnamese,Medium,30,40,4,"cá chép:800g;dưa cải:300g;gừng:50g;hành tây:1 củ;ớt:2 quả;nước mắm:40ml","1. Làm sạch cá;2. Ướp gia vị;3. Xếp dưa;4. Om liu riu","calories:350;protein:35g;carbs:15g;fat:20g","1. Cá tươi;2. Dưa chua vừa;3. Nước sệt"
Gỏi Xoài,Vietnamese,Easy,20,0,4,"xoài xanh:2 trái;tôm khô:100g;thịt bò:200g;rau răm:50g;đậu phộng:100g;nước mắm:50ml","1. Bào xoài;2. Trộn gia vị;3. Trộn gỏi;4. Rắc đậu","calories:250;protein:20g;carbs:25g;fat:15g","1. Xoài giòn;2. Vị chua ngọt;3. Đậu rang thơm"
Cá Bống Kho Tiêu,Vietnamese,Medium,20,30,4,"cá bống:500g;tiêu:15g;tỏi:5 tép;ớt:2 quả;nước mắm:40ml;đường:20g","1. Làm sạch cá;2. Ướp gia vị;3. Kho liu riu;4. Rắc tiêu","calories:300;protein:35g;carbs:10g;fat:15g","1. Cá tươi;2. Vị tiêu nồng;3. Nước kho sệt"
Canh Cua Mồng Tơi,Vietnamese,Easy,20,25,4,"cua đồng:300g;mồng tơi:200g;hành lá:50g;mắm tôm:20g;ớt:2 quả","1. Lọc cua;2. Nấu nước dùng;3. Cho rau;4. Nêm nếm","calories:200;protein:25g;carbs:15g;fat:8g","1. Cua tươi;2. Rau xanh;3. Nước ngọt"
